id;sku;nazwa;kategoria;szerokość;wysokość;głębokość;średnica;jednostka;reguła;raw
276522984;2031815;"Lodówka turystyczna niebieska 32L 262270 CURVER";"Sport i turystyka|Sprzęt turystyczny";41;49.8;33.3;;cm;product-dims-mm;"Szerokość produktu: 410 mm; Wysokość produktu: 498 mm; Głębokość produktu: 333 mm"
276523001;2031822;"Lodówka turystyczna niebieska 20L 262277 CURVER";"Sport i turystyka|Sprzęt turystyczny";39.6;42.8;26.5;;cm;product-dims-mm;"Szerokość produktu: 396 mm; Wysokość produktu: 428 mm; Głębokość produktu: 265 mm"
276529111;2031809;"Lodówka turystyczna niebieska 10L 261193 CURVER";"Sport i turystyka|Sprzęt turystyczny";42.8;23.5;26.5;;cm;product-dims-mm;"Szerokość produktu: 428 mm; Wysokość produktu: 235 mm; Głębokość produktu: 265 mm"
276672434;2887313;"Lodówka turystyczna 33L fioletowa 262271 CURVER";"Sport i turystyka|Sprzęt turystyczny";49.8;41;33.3;;cm;product-dims-mm;"Szerokość produktu: 498 mm; Wysokość produktu: 410 mm; Głębokość produktu: 333 mm"
276672454;2887314;"Lodówka turystyczna 10L fioletowa 261190 CURVER";"Sport i turystyka|Sprzęt turystyczny";42.8;23.3;26.5;;cm;product-dims-mm;"Szerokość produktu: 428 mm; Wysokość produktu: 233 mm; Głębokość produktu: 265 mm"
276672481;2887315;"Lodówka turystyczna Ravanson CS-20S (12V)";"Sport i turystyka|Sprzęt turystyczny";38.3;40.9;24.8;;cm;product-dims-mm;"Szerokość produktu: 383 mm; Wysokość produktu: 409 mm; Głębokość produktu: 248 mm"
276672519;2887316;"Lodówka turystyczna Ravanson CS-24S Super (440mm x 401mm x 296mm; 24l, szary)";"Sport i turystyka|Sprzęt turystyczny";40.1;44;29.6;;cm;product-dims-mm;"Szerokość produktu: 401 mm; Wysokość produktu: 440 mm; Głębokość produktu: 296 mm"
276672548;2887317;"Lodówka turystyczna Ravanson CS-28S Super (470mm x 445mm x 348mm; 28l; szary)";"Sport i turystyka|Sprzęt turystyczny";44.5;47;34.8;;cm;product-dims-mm;"Szerokość produktu: 445 mm; Wysokość produktu: 470 mm; Głębokość produktu: 348 mm"
276673951;2900353;"Profesjonalna lodówka turystyczna kompresorowa TEESA z funkcją mrożenia 50L DC12";"Sport i turystyka|Sprzęt turystyczny";;;;;;NO_MATCH;""
276673963;2900355;"Profesjonalna lodówka turystyczna kompresorowa TEESA z funkcją mrożenia 40L DC12";"Sport i turystyka|Sprzęt turystyczny";;;;;;NO_MATCH;""
276673984;2900357;"Lodówka turystyczna TEESA z funkcją grzania 35L";"Sport i turystyka|Sprzęt turystyczny";;;;;;NO_MATCH;""
276673995;2900358;"Lodówka turystyczna Teesa z funkcją grzania 20L";"Sport i turystyka|Sprzęt turystyczny";;;;;;NO_MATCH;""
276676740;1420993;"Fotel gamingowy Huzaro Force 2.5 White Mesh";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";68;;;;cm;product-dims-mm;"Szerokość produktu: 680 mm"
276676749;1420994;"Fotel gamingowy HZ-Ranger 6.0 Pink";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";61;;50;;cm;product-dims-mm;"Szerokość produktu: 610 mm; Głębokość produktu: 500 mm"
